Distancia (km),Número de artículos,Hora del día,Condiciones del tráfico,Tiempo estimado de entrega (minutos)
3,8,12,2,52.0
10,1,7,5,77.5
11,5,13,4,86.5
7,3,19,2,52.5
9,2,23,1,57.5
5,6,20,5,80.0
6,4,18,3,62.0
2,8,16,4,51.0
12,7,21,2,84.0
5,4,11,3,50.5
9,3,14,4,72.5
6,2,19,1,49.5
8,7,8,5,95.0
3,5,21,2,50.0
10,4,12,3,73.0
4,2,18,4,47.0
12,1,15,3,72.5
14,6,5,5,103.0
7,8,13,2,72.0
11,5,16,1,68.5
2,3,22,3,40.5
6,7,9,2,57.5
5,1,17,4,55.5
13,3,20,3,78.5
9,2,14,5,76.5
7,4,6,2,50.0
8,5,19,4,81.5
3,6,7,1,40.0
11,7,23,3,89.5
4,8,21,2,54.0
12,2,10,5,88.5
10,3,12,4,77.5
14,1,18,3,77.5
6,6,15,5,80.5
5,7,11,4,68.5
13,4,8,2,72.0
3,2,20,5,44.0
7,1,22,1,42.5
9,8,13,3,83.0
8,3,19,2,59.0
11,6,16,4,88.0
4,1,7,5,40.5
12,7,14,3,89.5
6,4,10,2,51.0
10,2,12,4,74.0
7,5,17,3,66.5
14,8,15,5,107.0
5,6,11,2,58.0
3,3,20,4,47.0
9,4,13,3,65.0
8,7,9,5,95.0
6,2,5,1,33.5
10,6,22,4,91.0
13,1,18,2,68.5
4,5,7,3,46.5
12,4,14,5,103.0
5,8,11,1,55.0
11,2,21,3,68.5
2,7,15,4,52.0
9,2,16,3,66.5
14,6,20,4,108.0
7,4,8,1,50.0
3,1,5,5,32.5
5,3,19,2,48.5
11,5,13,3,80.5
2,6,22,4,52.0
8,8,10,5,96.0
13,7,17,1,81.5
4,2,14,3,44.5
6,3,11,4,58.5
12,5,15,5,100.5
10,4,18,2,78.0
9,6,20,3,83.0
5,8,7,4,63.0
7,2,21,1,49.5
3,5,9,5,50.5
11,7,16,2,81.0
8,3,19,3,64.5
2,1,6,4,31.5
14,4,13,5,108.0
12,8,11,2,89.0
6,6,17,4,78.0
4,7,5,3,50.5
10,2,15,1,64.5
13,3,22,5,100.5
9,5,20,2,75.5
3,4,10,4,45.0
7,6,18,3,70.5
5,1,13,2,43.0
8,7,21,4,86.5
2,3,16,5,46.5
11,4,14,3,74.5
6,8,8,2,62.0
14,2,19,1,81.5
12,6,7,3,84.5
10,1,12,4,72.0
5,4,20,5,73.0
3,7,15,2,52.5
13,5,23,3,92.5
7,3,18,4,62.0
4,6,16,1,53.0
9,8,11,2,71.0
14,1,13,5,96.5
12,4,19,3,93.5
6,5,6,4,57.0
8,2,14,2,57.0
11,3,10,5,80.5
2,8,21,3,48.0
10,7,17,1,81.0
6,4,14,2,62.0
12,3,19,3,85.5
3,2,7,4,42.0
10,5,9,1,60.5
4,7,18,5,82.5
8,6,20,2,72.0
13,1,15,3,73.5
5,8,16,4,82.0
11,4,12,5,93.0
7,3,22,1,60.5
9,2,13,3,64.5
14,7,10,2,96.0
6,5,11,4,66.0
12,8,17,5,108.0
3,1,21,3,38.5
10,6,5,1,60.0
4,3,19,2,46.5
8,2,7,4,49.0
7,5,14,3,65.5
13,6,20,4,101.0
11,7,12,5,105.5
5,4,15,2,56.5
9,3,8,3,58.5
6,8,18,5,97.0
12,4,21,1,77.5
14,2,10,3,82.0
8,7,13,2,80.5
10,1,17,4,79.5
3,6,22,3,53.5
7,8,19,1,75.0
13,5,9,2,75.5
5,2,11,4,53.0
11,6,16,5,96.0
4,1,20,3,41.5
9,4,7,2,58.0
6,3,14,3,58.5
14,8,5,1,79.0
12,7,12,5,103.5
3,5,18,2,50.0
7,4,15,3,61.5
5,6,10,4,65.0
10,3,22,5,98.5
11,2,13,1,65.5
8,1,9,3,58.5
9,8,21,4,97.0
13,3,19,2,73.5
4,5,6,5,62.5
14,4,17,3,88.0
6,2,20,2,53.0
12,6,11,1,71.5
